,vehicle_id,time,x,y
97644,flow_1.82,1538,797.9735802810064,-8.0
97646,flow_1.84,1538,314.2302313871946,-4.8
97647,flow_1.85,1538,59.14534468553029,-4.8
97702,flow_0.80,1539,504.8,449.5391220327022
97704,flow_0.82,1539,501.6,394.1522650651999
97705,flow_0.83,1539,485.39892137512606,-1.6
97708,flow_1.82,1539,811.750683366904,-8.0
97710,flow_1.84,1539,329.3812588784711,-4.8
97711,flow_1.85,1539,74.16839568412396,-8.0
97766,flow_0.80,1540,504.8,463.7728380142325
97768,flow_0.82,1540,501.6,410.797793629042
97769,flow_0.83,1540,485.39892137512606,-1.6
97772,flow_1.82,1540,825.6690727689897,-8.0
97774,flow_1.84,1540,345.06785391491667,-4.8
97775,flow_1.85,1540,88.73000356831785,-8.0
97830,flow_0.80,1541,504.8,478.82628405423816
97832,flow_0.82,1541,501.6,427.2583565032875
97833,flow_0.83,1541,485.39892137512606,-1.6
97836,flow_1.82,1541,839.6848404092729,-8.0
97838,flow_1.84,1541,360.04240039298367,-4.8
97839,flow_1.85,1541,104.11000001881668,-8.0
97894,flow_0.80,1542,504.8,492.82433486028674
97896,flow_0.82,1542,501.6,442.7035180564189
97897,flow_0.83,1542,485.39892137512606,-1.6
97900,flow_1.82,1542,853.5991859875519,-8.0
97902,flow_1.84,1542,375.193478962996,-4.8
97903,flow_1.85,1542,119.19258569315204,-8.0
97958,flow_0.82,1543,501.6,458.6807903036942
97959,flow_0.83,1543,485.39892137512606,-1.6
97962,flow_1.82,1543,867.1462354867971,-8.0
97964,flow_1.84,1543,390.8608277251855,-4.8
97965,flow_1.85,1543,134.0633741101143,-8.0
98020,flow_0.82,1544,501.6,475.2402485703669
98021,flow_0.83,1544,485.39892137512606,-1.6
98024,flow_1.82,1544,880.6340656529784,-8.0
98026,flow_1.84,1544,405.83053395130935,-4.8
98027,flow_1.85,1544,149.31565602692834,-8.0
98081,flow_0.82,1545,501.6,491.4558671326312
98082,flow_0.83,1545,485.39892137512606,-1.6
98085,flow_1.82,1545,894.2589237847855,-8.0
98087,flow_1.84,1545,421.0924902163728,-4.8
98088,flow_1.85,1545,164.437123609551,-8.0
98142,flow_0.83,1546,485.39892137512606,-1.6
98145,flow_1.82,1546,907.3923827044342,-8.0
98147,flow_1.84,1546,436.5218096668252,-4.8
98148,flow_1.85,1546,179.58400883558662,-8.0
98201,flow_0.83,1547,485.39892137512606,-1.6
98204,flow_1.82,1547,921.171347235309,-8.0
98206,flow_1.84,1547,451.913852951252,-4.8
98207,flow_1.85,1547,193.91184543594903,-8.0
98258,flow_0.83,1548,485.39892137512606,-1.6
98261,flow_0.86,1548,5.1,-1.6
98262,flow_1.82,1548,934.5273940320508,-8.0
98264,flow_1.84,1548,466.32940557706434,-4.8
98265,flow_1.85,1548,209.096180232078,-8.0
98323,flow_0.83,1549,485.39892137512606,-1.6
98326,flow_0.86,1549,7.508026908361353,-1.6
98327,flow_1.82,1549,947.6539171404006,-8.0
98329,flow_1.84,1549,477.164134584152,-4.8
98330,flow_1.85,1549,224.48891576621332,-8.0
98390,flow_0.83,1550,485.39892137512606,-1.6
98393,flow_0.86,1550,11.307670504879209,-1.6
98394,flow_1.82,1550,961.1976701856275,-8.0
98396,flow_1.84,1550,483.4988635912397,-4.8
98397,flow_1.85,1550,239.16193806551715,-8.0
98456,flow_0.83,1551,485.39892137512606,-1.6
98459,flow_0.86,1551,16.78044930337928,-1.6
98460,flow_1.82,1551,974.9741957929024,-8.0
98462,flow_1.84,1551,485.33359259832736,-4.8
98463,flow_1.85,1551,253.63316090092115,-8.0
98524,flow_0.83,1552,485.39892137512606,-1.6
98527,flow_0.86,1552,23.71770772698801,-1.6
98528,flow_1.82,1552,988.2134355382452,-8.0
98530,flow_1.84,1552,485.3982459143877,-4.8
98531,flow_1.85,1552,268.5112258716139,-8.0
